Waratah A set fleet,,,,
Set number:,Formation:,Status:,Livery:,Fact/Note:
A1,D6301-N5301-N5501-T6501-T6601-N5601-N5401-D6401,In service,Sydney Trains,
A2,D6302-N5302-N5502-T6502-T6602-N5602-N5402-D6402,Scrapped,CityRail,Set A2 was damaged beyond repair on the boat journey over from China in 2011.
A3,D6303-N5303-N5503-T6503-T6603-N5603-N5403-D6403,In service,Sydney Trains,Set A3 was the first A set to enter service.
A4,D6304-N5304-N5504-T6504-T6604-N5604-N5404-D6404,In service,Sydney Trains,
A5,D6305-N5305-N5505-T6505-T6605-N5605-N5405-D6405,In service,Sydney Trains,
A6,D6306-N5306-N5506-T6506-T6606-N5606-N5406-D6406,In service,Sydney Trains,
A7,D6307-N5307-N5507-T6507-T6607-N5607-N5407-D6407,In service,Sydney Trains,
A8,D6308-N5308-N5508-T6508-T6608-N5608-N5408-D6408,In service,Sydney Trains,
A9,D6309-N5309-N5509-T6509-T6609-N5609-N5409-D6409,In service,Sydney Trains,
A10,D6310-N5310-N5510-T6510-T6610-N5610-N5410-D6410,In service,Sydney Trains,
A11,D6311-N5311-N5511-T6511-T6611-N5611-N5411-D6411,In service,Sydney Trains,
A12,D6312-N5312-N5512-T6512-T6612-N5612-N5412-D6412,In service,Sydney Trains,
A13,D6313-N5313-N5513-T6513-T6613-N5613-N5413-D6413,In service,Sydney Trains,
A14,D6314-N5314-N5514-T6514-T6614-N5614-N5414-D6414,In service,Sydney Trains,
A15,D6315-N5315-N5515-T6515-T6615-N5615-N5415-D6415,In service,Sydney Trains,Set A15 is currently home to D6342 as D6315 is being repaired after hitting a trailer in Vineyard back in 2024.
A16,D6316-N5316-N5516-T6516-T6616-N5616-N5416-D6416,In service,Sydney Trains,
A17,D6317-N5317-N5517-T6517-T6617-N5617-N5417-D6417,In service,Sydney Trains,
A18,D6318-N5318-N5518-T6518-T6618-N5618-N5418-D6418,In service,Sydney Trains,
A19,D6319-N5319-N5519-T6519-T6619-N5619-N5419-D6419,In service,Sydney Trains,
A20,D6320-N5320-N5520-T6520-T6620-N5620-N5420-D6420,In service,Sydney Trains,
A21,D6321-N5321-N5521-T6521-T6621-N5621-N5421-D6421,In service,Sydney Trains,
A22,D6322-N5322-N5522-T6522-T6622-N5622-N5422-D6422,In service,Sydney Trains,
A23,D6323-N5323-N5523-T6523-T6623-N5623-N5423-D6423,In service,Sydney Trains,
A24,D6324-N5324-N5524-T6524-T6624-N5624-N5424-D6424,In service,Sydney Trains,
A25,D6325-N5325-N5525-T6525-T6625-N5625-N5425-D6425,In service,Sydney Trains,
A26,D6326-N5326-N5526-T6526-T6626-N5626-N5426-D6426,In service,Sydney Trains,
A27,D6327-N5327-N5527-T6527-T6627-N5627-N5427-D6427,In service,Sydney Trains,
A28,D6328-N5328-N5528-T6528-T6628-N5628-N5428-D6428,In service,Sydney Trains,
A29,D6329-N5329-N5529-T6529-T6629-N5629-N5429-D6429,In service,Sydney Trains,
A30,D6330-N5330-N5530-T6530-T6630-N5630-N5430-D6430,In service,Sydney Trains,
A31,D6331-N5331-N5531-T6531-T6631-N5631-N5431-D6431,In service,Sydney Trains,
A32,D6332-N5332-N5532-T6532-T6632-N5632-N5432-D6432,In service,Sydney Trains,
A33,D6333-N5333-N5533-T6533-T6633-N5633-N5433-D6433,In service,Sydney Trains,
A34,D6334-N5334-N5534-T6534-T6634-N5634-N5434-D6434,In service,Sydney Trains,
A35,D6335-N5335-N5535-T6535-T6635-N5635-N5435-D6435,In service,Sydney Trains,
A36,D6336-N5336-N5536-T6536-T6636-N5636-N5436-D6436,In service,Sydney Trains,
A37,D6337-N5337-N5537-T6537-T6637-N5637-N5437-D6437,In service,Sydney Trains,
A38,D6338-N5338-N5538-T6538-T6638-N5638-N5438-D6438,In service,Sydney Trains,
A39,D6339-N5339-N5539-T6539-T6639-N5639-N5439-D6439,In service,Sydney Trains,
A40,D6340-N5340-N5540-T6540-T6640-N5640-N5440-D6440,In service,Sydney Trains,
A41,D6341-N5341-N5541-T6541-T6641-N5641-N5441-D6441,In service,Sydney Trains,
A42,D6342-N5342-N5542-T6542-T6642-N5642-N5442-D6442,In service,Sydney Trains,D6342 was heavily damaged when it collided with the buffer stop at Richmond back in 2019. The rest of the train partially derailed.
A43,D6343-N5343-N5543-T6543-T6643-N5643-N5443-D6443,In service,Sydney Trains,
A44,D6344-N5344-N5544-T6544-T6644-N5644-N5444-D6444,In service,Sydney Trains,
A45,D6345-N5345-N5545-T6545-T6645-N5645-N5445-D6445,In service,Sydney Trains,
A46,D6346-N5346-N5546-T6546-T6646-N5646-N5446-D6446,In service,Sydney Trains,
A47,D6347-N5347-N5547-T6547-T6647-N5647-N5447-D6447,In service,Sydney Trains,
A48,D6348-N5348-N5548-T6548-T6648-N5648-N5448-D6448,In service,Sydney Trains,
A49,D6349-N5349-N5549-T6549-T6649-N5649-N5449-D6449,In service,Sydney Trains,
A50,D6350-N5350-N5550-T6550-T6650-N5650-N5450-D6450,In service,Sydney Trains,
A51,D6351-N5351-N5551-T6551-T6651-N5651-N5451-D6451,In service,Sydney Trains,
A52,D6352-N5352-N5552-T6552-T6652-N5652-N5452-D6452,In service,Sydney Trains,
A53,D6353-N5353-N5553-T6553-T6653-N5653-N5453-D6453,In service,Sydney Trains,
A54,D6354-N5354-N5554-T6554-T6654-N5654-N5454-D6454,In service,Sydney Trains,
A55,D6355-N5355-N5555-T6555-T6655-N5655-N5455-D6455,In service,Sydney Trains,
A56,D6356-N5356-N5556-T6556-T6656-N5656-N5456-D6456,In service,Sydney Trains,
A57,D6357-N5357-N5557-T6557-T6657-N5657-N5457-D6457,In service,Sydney Trains,
A58,D6358-N5358-N5558-T6558-T6658-N5658-N5458-D6458,In service,Sydney Trains,
A59,D6359-N5359-N5559-T6559-T6659-N5659-N5459-D6459,In service,Sydney Trains,
A60,D6360-N5360-N5560-T6560-T6660-N5660-N5460-D6460,In service,Sydney Trains,
A61,D6361-N5361-N5561-T6561-T6661-N5661-N5461-D6461,In service,Sydney Trains,
A62,D6362-N5362-N5562-T6562-T6662-N5662-N5462-D6462,In service,Sydney Trains,
A63,D6363-N5363-N5563-T6563-T6663-N5663-N5463-D6463,In service,Sydney Trains,
A64,D6364-N5364-N5564-T6564-T6664-N5664-N5464-D6464,In service,Sydney Trains,
A65,D6365-N5365-N5565-T6565-T6665-N5665-N5465-D6465,In service,Sydney Trains,
A66,D6366-N5366-N5566-T6566-T6666-N5666-N5466-D6466,In service,Sydney Trains,
A67,D6367-N5367-N5567-T6567-T6667-N5667-N5467-D6467,In service,Sydney Trains,
A68,D6368-N5368-N5568-T6568-T6668-N5668-N5468-D6468,In service,Sydney Trains,
A69,D6369-N5369-N5569-T6569-T6669-N5669-N5469-D6469,In service,Sydney Trains,
A70,D6370-N5370-N5570-T6570-T6670-N5670-N5470-D6470,In service,Sydney Trains,
A71,D6371-N5371-N5571-T6571-T6671-N5671-N5471-D6471,In service,Sydney Trains,
A72,D6372-N5372-N5572-T6572-T6672-N5672-N5472-D6472,In service,Sydney Trains,
A73,D6373-N5373-N5573-T6573-T6673-N5673-N5473-D6473,In service,Sydney Trains,
A74,D6374-N5374-N5574-T6574-T6674-N5674-N5474-D6474,In service,Sydney Trains,
A75,D6375-N5375-N5575-T6575-T6675-N5675-N5475-D6475,In service,Sydney Trains,
