username,id,wins,losses
780303451980038165,xm9g,51,0
707866373602148363,domino6658,100,0
634620519500480512,ryanz225_pc,7,0
659244232694824971,ach_13,19,0
457647172293230594,axowaffle,78,0
732354084258054278,qazzy52,27,0
739422774052782120,eggman_comeng,1918,0
889706202676723773,smashthetop,1,0
1066855187681132564,astrothedude,1,0
489007478294708225,beasts4life,130,0
1084278724637237248,freezedalphabets,2,0
402694557621551116,kirbykirb8,1,0
858551694525857793,dinohh64,13,0
538353354330603554,anjo.guarda,24,0
585690706295783424,now_arriving_at,2,0
935377690058448967,pickitt,1,0
659244232694824971,._.objecty._.,41,0
1190872553758146654,whyimisosigma,5,0
718414413002178561,markocr221l,2,0
