X,Y,objectid,uri,name,feature_date,feature_source,attribute_date,attribute_source,source_ufi,source_jurisdiction,custodian_agency,custodian_licensing,loading_date,building_id,operationalstatus,height,significance,address,suburb,site_class,local_construction_type,local_year_built,state,source_supply_date,featuresubtype
151.161765608,-33.765442483,1,,KILLARA RAILWAY STATION,2014/05/19 00:00:00+00,Standard Topographic Capture Program,2001/06/13 00:00:00+00,,cac616ad-bfcc-3624-a056-44175df57d48,NSW,Spatial Services,Creative Commons Attribution 4.0 Australia Licence. CCBY © Spatial Services 2019.,2021/03/29 00:07:24+00,0,Operational,,,,,,,,NSW,2021/02/10 00:00:00+00,Railway Station
151.211764968,-33.867933838,2,,MARTIN PLACE RAILWAY STATION,2014/05/27 00:00:00+00,Standard Topographic Capture Program,2001/06/13 00:00:00+00,,56e63e3b-9140-31da-89c8-4206f8679a9c,NSW,Spatial Services,Creative Commons Attribution 4.0 Australia Licence. CCBY © Spatial Services 2019.,2021/03/29 00:07:24+00,0,Operational,,,,,,,,NSW,2021/02/10 00:00:00+00,Railway Station
151.205634403,-33.865888619,3,,WYNYARD RAILWAY STATION,2014/05/27 00:00:00+00,Standard Topographic Capture Program,2001/06/13 00:00:00+00,,039f3e10-eeee-372a-b5d8-3a6b7d89f22a,NSW,Spatial Services,Creative Commons Attribution 4.0 Australia Licence. CCBY © Spatial Services 2019.,2021/03/29 00:07:24+00,0,Operational,,,,,,,,NSW,2021/02/10 00:00:00+00,Railway Station
151.210864814,-33.861331868,4,,CIRCULAR QUAY RAILWAY STATION,2014/05/27 00:00:00+00,Standard Topographic Capture Program,2001/06/13 00:00:00+00,,e334c5ec-97e2-3d31-b9f9-e2062b3c0171,NSW,Spatial Services,Creative Commons Attribution 4.0 Australia Licence. CCBY © Spatial Services 2019.,2021/03/29 00:07:24+00,0,Operational,,,,,,,,NSW,2021/02/10 00:00:00+00,Railway Station
151.206908801,-33.841105655,5,,NORTH SYDNEY RAILWAY STATION,2014/05/27 00:00:00+00,Standard Topographic Capture Program,2001/06/13 00:00:00+00,,3b98a495-c5ae-3356-b0a5-d9f509f674f3,NSW,Spatial Services,Creative Commons Attribution 4.0 Australia Licence. CCBY © Spatial Services 2019.,2021/03/29 00:07:24+00,0,Operational,,,,,,,,NSW,2021/02/10 00:00:00+00,Railway Station
151.211928351,-33.845961814,6,,MILSONS POINT RAILWAY STATION,2014/05/27 00:00:00+00,Standard Topographic Capture Program,2001/06/13 00:00:00+00,,28eac821-faa0-34e7-aa07-6c8caed42562,NSW,Spatial Services,Creative Commons Attribution 4.0 Australia Licence. CCBY © Spatial Services 2019.,2021/03/29 00:07:24+00,0,Operational,,,,,,,,NSW,2021/02/10 00:00:00+00,Railway Station
151.008045009,-34.088134355,7,,HEATHCOTE RAILWAY STATION,2014/05/26 00:00:00+00,Standard Topographic Capture Program,2008/03/30 00:00:00+00,,ba158577-9229-31b7-8ee5-cebee157639c,NSW,Spatial Services,Creative Commons Attribution 4.0 Australia Licence. CCBY © Spatial Services 2019.,2021/03/29 00:07:24+00,0,Operational,,,,,,,,NSW,2021/02/10 00:00:00+00,Railway Station
151.051373307,-34.045502744,8,,LOFTUS RAILWAY STATION,2014/05/26 00:00:00+00,Standard Topographic Capture Program,2008/03/30 00:00:00+00,,bb72dc4a-d966-3775-b73d-83346be69006,NSW,Spatial Services,Creative Commons Attribution 4.0 Australia Licence. CCBY © Spatial Services 2019.,2021/03/29 00:07:24+00,0,Operational,,,,,,,,NSW,2021/02/10 00:00:00+00,Railway Station
151.085456077,-34.034808624,9,,GYMEA RAILWAY STATION,2014/05/26 00:00:00+00,Standard Topographic Capture Program,2008/03/30 00:00:00+00,,7b3a614e-7557-3682-855d-d821cc66e61c,NSW,Spatial Services,Creative Commons Attribution 4.0 Australia Licence. CCBY © Spatial Services 2019.,2021/03/29 00:07:24+00,0,Operational,,,,,,,,NSW,2021/02/10 00:00:00+00,Railway Station
151.122281362,-34.041636949,10,,CARINGBAH RAILWAY STATION,2014/05/26 00:00:00+00,Standard Topographic Capture Program,2008/03/30 00:00:00+00,,3cbf6b41-396f-39c8-b1d9-165234726665,NSW,Spatial Services,Creative Commons Attribution 4.0 Australia Licence. CCBY © Spatial Services 2019.,2021/03/29 00:07:24+00,0,Operational,,,,,,,,NSW,2021/02/10 00:00:00+00,Railway Station
151.151375546,-34.055587388,11,,CRONULLA RAILWAY STATION,2014/05/26 00:00:00+00,Standard Topographic Capture Program,2008/03/30 00:00:00+00,,91e14d11-f656-39fd-9b48-433b2617df56,NSW,Spatial Services,Creative Commons Attribution 4.0 Australia Licence. CCBY © Spatial Services 2019.,2021/03/29 00:07:24+00,0,Operational,,,,,,,,NSW,2021/02/10 00:00:00+00,Railway Station
151.057210702,-34.031741964,12,,SUTHERLAND RAILWAY STATION,2014/05/26 00:00:00+00,Standard Topographic Capture Program,2008/03/30 00:00:00+00,,29b5ea3c-5f78-37bf-940e-f746d64848f0,NSW,Spatial Services,Creative Commons Attribution 4.0 Australia Licence. CCBY © Spatial Services 2019.,2021/03/29 00:07:24+00,0,Operational,,,,,,,,NSW,2021/02/10 00:00:00+00,Railway Station
151.102524703,-33.967301803,13,,HURSTVILLE RAILWAY STATION,2014/05/26 00:00:00+00,Standard Topographic Capture Program,2000/10/05 00:00:00+00,,a7e560a7-f28d-30c6-8821-009299cc9783,NSW,Spatial Services,Creative Commons Attribution 4.0 Australia Licence. CCBY © Spatial Services 2019.,2021/03/29 00:07:24+00,0,Operational,,,,,,,,NSW,2021/02/10 00:00:00+00,Railway Station
151.132751476,-33.962010492,14,,KOGARAH RAILWAY STATION,2014/05/26 00:00:00+00,Standard Topographic Capture Program,2000/10/05 00:00:00+00,,26a00e23-7ab6-3486-af00-010cc646872a,NSW,Spatial Services,Creative Commons Attribution 4.0 Australia Licence. CCBY © Spatial Services 2019.,2021/03/29 00:07:24+00,0,Operational,,,,,,,,NSW,2021/02/10 00:00:00+00,Railway Station
151.115869725,-33.883361995,15,,CROYDON RAILWAY STATION,2014/05/21 00:00:00+00,Standard Topographic Capture Program,2000/10/05 00:00:00+00,,3f8af7ef-cc55-3278-b6ec-df6f4d4ac1c4,NSW,Spatial Services,Creative Commons Attribution 4.0 Australia Licence. CCBY © Spatial Services 2019.,2021/03/29 00:07:24+00,0,Operational,,,,,,,,NSW,2021/02/10 00:00:00+00,Railway Station
151.131850286,-33.910539069,16,,HURLSTONE PARK RAILWAY STATION,2014/05/27 00:00:00+00,Standard Topographic Capture Program,2000/10/05 00:00:00+00,,91271dac-d720-357f-b5d3-652106c428ac,NSW,Spatial Services,Creative Commons Attribution 4.0 Australia Licence. CCBY © Spatial Services 2019.,2021/03/29 00:07:24+00,0,Operational,,,,,,,,NSW,2021/02/10 00:00:00+00,Railway Station
151.180900319,-33.907043292,17,,ST PETERS RAILWAY STATION,2014/05/27 00:00:00+00,Standard Topographic Capture Program,2000/10/05 00:00:00+00,,62b4dc9c-762c-3582-8a38-ce9d557360b3,NSW,Spatial Services,Creative Commons Attribution 4.0 Australia Licence. CCBY © Spatial Services 2019.,2021/03/29 00:07:24+00,0,Operational,,,,,,,,NSW,2021/02/10 00:00:00+00,Railway Station
151.20675823,-33.883934848,18,,CENTRAL RAILWAY STATION,2014/05/27 00:00:00+00,Standard Topographic Capture Program,2000/10/05 00:00:00+00,,dafd5d01-0e8c-3e80-9547-8f9aa5b74131,NSW,Spatial Services,Creative Commons Attribution 4.0 Australia Licence. CCBY © Spatial Services 2019.,2021/03/29 00:07:24+00,0,Operational,,,,,,,,NSW,2021/02/10 00:00:00+00,Railway Station
151.222017544,-33.874466834,19,,KINGS CROSS RAILWAY STATION,2014/05/27 00:00:00+00,Standard Topographic Capture Program,2000/10/05 00:00:00+00,,caea4e34-bd3e-31cd-800e-3f7f7557556a,NSW,Spatial Services,Creative Commons Attribution 4.0 Australia Licence. CCBY © Spatial Services 2019.,2021/03/29 00:07:24+00,0,Operational,,,,,,,,NSW,2021/02/10 00:00:00+00,Railway Station
151.236946498,-33.879449871,20,,EDGECLIFF RAILWAY STATION,2014/05/27 00:00:00+00,Standard Topographic Capture Program,2000/10/05 00:00:00+00,,a2cea46e-1569-3239-8be1-a5a2d5f133f5,NSW,Spatial Services,Creative Commons Attribution 4.0 Australia Licence. CCBY © Spatial Services 2019.,2021/03/29 00:07:24+00,0,Operational,,,,,,,,NSW,2021/02/10 00:00:00+00,Railway Station
