301M-1001T-302M,Metro,"Mon, 28th Sep 1981",Scrapped,At North Bendigo
303M-1002T-304M,Metro,"Mon, 22nd Feb 1982",Scrapped,At North Bendigo
307M-1004T-308M,Metro,"Mon, 22nd Feb 1982",Scrapped,At North Bendigo
309M-1005T-310M,Metro,"Mon, 17th May 1982",Scrapped,At North Bendigo
311M-1006T-312M,Metro,"Thu, 21st Jan 1982",Scrapped,At Newport Workshops
313M-1007T-333M,Metro,"Mon, 26th Jul 1982",Scrapped,At Newport Workshops
314M-1017T-334M,Metro,"Mon, 26th Jul 1982",Scrapped,At the McConnell Dowell Rail Plant
316M-1033T-319M,Metro,"Mon, 10th May 1982",Scrapped,At the McConnell Dowell Rail Plant
317M-1009T-318M,Metro,"Mon, 10th May 1982",Scrapped,At Newport Workshops
320M-1107T-321M,Metro,"Mon, 26th Jul 1982",Scrapped,At North Bendigo
322M-1011T-425M,Metro,"Fri, 20th Apr 1984",Scrapped,At the McConnell Dowell Rail Plant
323M-1012T-361M,Metro,"Sat, 26th Feb 1983",Scrapped,At North Bendigo
324M-1031T-342M,Metro,"Tue, 21st Sep 1982",In-Service,Modified Horn Installed (Single Tone)
325M-1013T-326M,Metro,"Mon, 5th Jul 1982",Scrapped,At Newport Workshops
327M-1082T-349M,Metro,"Tue, 9th Nov 1982",In-Service,Modified Horn Installed (Single Tone)
328M-1014T-464M,Metro,"Wed, 24th Oct 1984",In-Service,Modified Horn Installed (Single Tone)
329M-1015T-366M,Metro,"Mon, 9th May 1983",In-Service,Modified Horn Installed (Single Tone)
330M-1025T-350M,Metro,"Tue, 9th Nov 1982",Scrapped,At North Bendigo
331M-1050T-400M,Metro,"Mon, 17th Oct 1983",Scrapped,At North Bendigo
332M-1016T-399M,Metro,"Mon, 17th Oct 1983",Scrapped,At the McConnell Dowell Rail Plant
335M-1045T-387M,Metro,"Mon, 3rd Oct 1983",In-Service,Modified Horn Installed (Single Tone)
336M-1069T-437M,Metro,"Tue, 26th Jun 1984",Scrapped,At North Bendigo
337M-1019T-438M,Metro,"Tue, 26th Jun 1984",In-Service,Modified Horn Installed (Single Tone)
338M-1092T-484M,Metro,"Wed, 1st May 1985",Scrapped,At Newport Workshops
339M-1020T-340M,Metro,"Tue, 21st Sep 1982",Scrapped,At the McConnell Dowell Rail Plant
341M-1021T-463M,Metro,"Wed, 24th Oct 1984",Scrapped,At Newport Workshops
343M-1010T-384M,Metro,"Mon, 12th Sep 1983",In-Service,Modified Horn Installed (Single Tone)
344M-1044T-390M,Metro,"Mon, 29th Aug 1983",Scrapped,At the McConnell Dowell Rail Plant
345M-1023T-346M,Metro,"Tue, 12th Oct 1982",Scrapped,At Newport Workshops
347M-1024T-348M,Metro,"Sat, 23rd Oct 1982",In-Service,Modified Horn Installed (Single Tone)
351M-1026T-352M,Metro,"Tue, 9th Nov 1982",In-Service,Modified Horn Installed (Single Tone)
353M-1027T-354M,Metro,"Mon, 13th Dec 1982",In-Service,Modified Horn Installed (Single Tone)
355M-1028T-356M,Metro,"Mon, 13th Dec 1982",In-Service,Modified Horn Installed (Single Tone)
357M-1029T-358M,Metro,"Sun, 16th Jan 1983",In-Service,Modified Horn Installed (Single Tone)
359M-1030T-360M,Metro,"Sun, 16th Jan 1983",Scrapped,At Newport Workshops
362M-1038T-376M,Metro,"Mon, 6th Jun 1983",Scrapped,At Newport Workshops
363M-1032T-364M,Metro,"Sat, 26th Feb 1983",Scrapped,At North Bendigo
365M-1042T-383M,Metro,"Mon, 12th Sep 1983",Scrapped,At the McConnell Dowell Rail Plant
367M-1034T-368M,Metro,"Mon, 9th May 1983",Scrapped,At Newport Workshops
369M-1035T-370M,Metro,"Mon, 23rd May 1983",In-Service,Modified Horn Installed (Single Tone)
371M-1036T-372M,Metro,"Mon, 23rd May 1983",In-Service,Modified Horn Installed (Single Tone)
373M-1037T-374M,Metro,"Mon, 6th Jun 1983",Scrapped,At North Bendigo
375M-1094T-488M,Metro,"Thu, 13th Jun 1985",Scrapped,At Newport Workshops
