Station,KM
Aircraft,-22.23
Alamein,16.12
Albion,-13.65
Alphington,10.46
Altona,-17.15
Anstey,-8.04
Armadale,8.67
Ascot Vale,-5.81
Ashburton,15.39
Aspendale,30.31
Auburn,8.96
Balaclava,9.08
Batman,-11.23
Baxter,51.97
Bayswater,30.76
Beaconsfield,46.99
Belgrave,42.53
Bell,-11.7
Bentleigh,16.47
Berwick,44.58
Bittern,68.67
Blackburn,18.67
Bonbeach,34.61
Boronia,33.38
Box Hill,16.16
Brighton Beach,15.97
Broadmeadows,-16.85
Brunswick,-7.31
Burnley,5.33
Burwood,14.17
Camberwell,10.21
Canterbury,12.19
Cardinia Road,53.8
Carnegie,13.54
Carrum,36.1
Caulfield,11.79
Chatham,12.95
Chelsea,33.37
Cheltenham,22.32
Clayton,20.51
Clifton Hill,6.6
Coburg,-10.12
Collingwood,4.83
Coolaroo,-19.31
Craigieburn,-26.1
Cranbourne,45.12
Crib Point,72.83
Croxton,9.61
Croydon,31.03
Dandenong,31.19
Darebin,11.22
Darling,12.68
Dennis,8.4
Diamond Creek,32.63
Diggers Rest,-32.69
Eaglemont,13.09
East Camberwell,11.08
East Malvern,13.75
East Richmond,4.37
East Pakenham,60.04
Edithvale,31.67
Elsternwick,10.95
Eltham,27.39
Epping,22.82
Essendon,-8.01
Fairfield,9.15
Fawkner,-13.23
Ferntree Gully,35.89
Flagstaff,1.24
Flemington Bridge,-4.06
Flemington Racecourse,-6.59
Flinders Street,1.23
Footscray,-5.62
Frankston,43.92
Gardenvale,12.35
Gardiner,10.61
Ginifer,-15.97
Glen Huntly,13.46
Glen Iris,11.52
Glen Waverley,22.23
Glenbervie,-9.13
Glenferrie,8.12
Glenroy,-14.4
Gowrie,-14.73
Greensborough,23.07
Hallam,37.45
Hampton,17.7
Hartwell,13.3
Hastings,64.99
Hawksburn,6.63
Hawkstowe,30.73
Hawthorn,6.89
Heatherdale,24.42
Heathmont,28.12
Heidelberg,14.04
Heyington,7.12
Highett,20.06
Holmesglen,15.64
Hoppers Crossing,-27.67
Hughesdale,15.27
Huntingdale,18.28
Hurstbridge,38.02
Ivanhoe,12.14
Jacana,-15.43
Jewell,-6.5
Jolimont,2.91
Jordanville,17.64
Kananook,41.44
Keilor Plains,-19.62
Kensington,-3.58
Keon Park,17.54
Kooyong,8.28
Laburnum,17.82
Lalor,20.81
Laverton,-21.01
Leawarra,45.77
Lilydale,38.86
Lynbrook,39.59
Macaulay,-3.25
Macleod,17.71
Malvern,10.11
McKinnon,15.84
Melbourne Central,1.85
Mentone,24.48
Merinda Park,42.35
Merlynston,-12.49
Mernda,33.07
Merri,8.04
Middle Brighton,14.52
Middle Footscray,-6.61
Middle Gorge,28.34
Mitcham,22.47
Montmorency,24.69
Moonee Ponds,-6.89
Moorabbin,18.45
Mooroolbark,34.48
Mordialloc,27.69
Moreland,-8.78
Morradoo,70.96
Mount Waverley,19
Murrumbeena,14.43
Narre Warren,40.8
Newmarket,-4.3
Newport,-10.56
Noble Park,27.23
North Brighton,-13.24
North Melbourne,-1.72
North Richmond,4.16
North Williamstown,-12.27
North Geelong,-69.98
Northcote,8.97
Nunawading,20.77
Oak Park,-12.88
Oakleigh,16.59
Officer,51.45
Ormond,15.02
Pakenham,58.19
Parkdale,25.93
Parliament,3.08
Pascoe Vale,-11.27
Patterson,17.39
Prahran,6.72
Preston,12.47
Regent,13.61
Reservoir,14.94
Richmond,3.8
Ringwood,25.76
Ringwood East,27.76
Ripponlea,9.83
Riversdale,11.73
Rosanna,15.78
Roxburgh Park,-22.08
Royal Park,-5.46
Rushall,7.32
Ruthven,15.95
Sandown Park,25.68
Sandringham,19.16
Seaford,39.35
Seaholme,-16.13
Seddon,-6.62
Showgrounds,-5.73
Somerville,55.82
South Kensington,-3.49
South Morang,25.97
South Yarra,5.41
Southern Cross,0
Southland,21.44
Spotswood,-9.22
Springvale,24.5
St Albans,-17.81
Stony Point,74.59
Strathmore,-9.79
Sunbury,-38.28
Sunshine,-12.25
Syndal,20.89
Tecoma,41.34
Thomastown,19.14
Thornbury,10.62
Toorak,7.91
Tooronga,9.59
Tottenham,-9.1
Tyabb,59.84
Union,14.14
Upfield,-18.86
Upper Ferntree Gully,37.66
Upwey,40.18
Victoria Park,5.42
Watergardens,-23.28
Watsonia,19.92
Wattle Glen,35.06
Werribee,-31.7
West Footscray,-7.33
West Richmond,3.66
Westall,22.64
Westgarth,7.55
Westona,-18.53
Williams Landing,-23.48
Williamstown,-14.2
Williamstown Beach,-13.18
Willison,12.15
Windsor,7.49
Yarraman,29.04
Yarraville,-7.54
BEGIN V/LINE,7777777
Avenel,-115.957
Euroa,-151.03
Violet Town,-168.314
Benalla,-195.25
Wangaratta,-233.998
Springhurst,-257.55
Chiltern,-271.322
Wodonga,-299.2
Albury,-304.9
Clarkefield,-50.42
Gisborne,-64.212
Macedon,-69.786
Woodend,-78.085
Kyneton,-91.552
Malmsbury,-102.163
Castlemaine,-125.484
Kangaroo Flat,-157.358
Bendigo,-162.242
Ardeer,-15.1
Deer Park,-17.9
Tarneit,-29.5
Wyndham Vale,-40.3
Little River,-55.7
Lara,-65.6
Corio,-72.1
North Shore,-75.3
Geelong,-80.7
South Geelong,-82.5
Marshall,-87.7
Waurn Ponds,-93
Winchelsea,-121.9
Birregurra,-142.4
Colac,-161.5
Camperdown,-06.6
Terang,-228.9
Sherwood Park,-269.5
Warrnambool,-275.4
Caroline Springs,-21.3
Rockbank,-30.2
Cobblebank,-34.4
Melton,-41.3
Bacchus Marsh,-50.9
Ballan,-79.5
Ballarat,-113.8
Wendouree,-118.1
Beaufort,-159.8
Ararat,-205.8
Creswick,-133
Clunes,-151
Talbot,-168.4
Maryborough,-182.5
Eaglehawk,-172.1
Raywood,-192.8
Dingee,-213.3
Pyramid,-251.4
Kerang,-291.9
Swan Hill,-347.3
Epsom,-169.7
Huntly,-175.7
Goornong,-191.7
Elmore,-209.7
Rochester,-225.5
Echuca-,252
Donnybrook,-33.2
Wallan,-47.5
Heathcote Junction,-55.4
Wandong,-57.3
Kilmore East,-65.5
